nome;cnpj;cep;endereco;telefone;tipoLocalizacao;_cnaePrincipal;_cnaeMatch;_uf;_municipio;_situacao;_razaoSocial
SOCIEDADE HIPICA DE ANITA GARIBALDI;04.302.966/0001-34;88590-000;RUA MIGUEL BABY SOBRINHO, nº SN, CENTRO - ANITA GARIBALDI/SC;;CLUBE_HIPICO;9319101;9319101;SC;ANITA GARIBALDI;02;SOCIEDADE HIPICA DE ANITA GARIBALDI
AL VENTUR COMERCIAL E AGRICOLA LTDA;06.193.563/0001-20;18540-000;ALAMEDA DOS CARVALHOS, nº 1477, SITIOS FARM - PORTO FELIZ/SP;(11) 39725111;HARAS;0152102;0152102;SP;PORTO FELIZ;02;AL VENTUR COMERCIAL E AGRICOLA LTDA
SOCIEDADE HIPICA PARANAENSE;76.698.596/0001-07;82590-300;RODOVIA BR-116, nº 6055, TARUMA - CURITIBA/PR;(41) 32666644;CLUBE;9312300;9312300;PR;CURITIBA;02;SOCIEDADE HIPICA PARANAENSE
HARAS QUEIMADA LTDA.;39.817.796/0001-05;29345-000;AVENIDA CRISTIANO DIAS LOPES, nº S/N, KM 01, BARRA DE ITAPEMIRIM - MARATAIZES/ES;;HARAS;0152102;0152102;ES;MARATAIZES;02;HARAS QUEIMADA LTDA.
JOSE ALCIDES RODRIGUES ADESTRAMENTO;04.913.252/0001-62;13160-000;SITIO BELA VISTA, nº S/N, GL 1 CX P.8, ZONA RURAL - ARTUR NOGUEIRA/SP;;HARAS;0152102;0152102;SP;ARTUR NOGUEIRA;02;JOSE ALCIDES RODRIGUES ADESTRAMENTO
FEDERACAO PAULISTA DE HIPISMO;43.638.543/0001-41;04734-003;AVENIDA ADOLFO PINHEIRO, nº 2054, ANDAR 6 SALA 611 E 612, SANTO AMARO - SAO PAULO/SP;(11) 56423350;CLUBE_HIPICO;9319199;9319199;SP;SAO PAULO;02;FEDERACAO PAULISTA DE HIPISMO
HARAS AUTA MARIA LTDA;62.066.980/0001-82;13380-001;ESTRADA V. VARIANTE-ANHANGUERA, nº S/N, RURAL - NOVA ODESSA/SP;;HARAS;0152102;0152102;SP;NOVA ODESSA;02;HARAS AUTA MARIA LTDA
PRADO DA VOLTA GRANDE;80.862.154/0001-21;83880-000;ESTRADA BR 116, nº S N, VOLTA GRANDE - RIO NEGRO/PR;;CLUBE_HIPICO;9319199;9319199;PR;RIO NEGRO;02;JOQUEI CLUBE RIONEGRENSE
AGRO PECUARIA BLUEGRASS LTDA;66.894.486/0001-67;18072-000;ESTRADA JOSE LEME, nº 1.700, GAGUACU - SOROCABA/SP;;HARAS;0152102;0152102;SP;SOROCABA;02;AGRO PECUARIA BLUEGRASS LTDA
CLUBE DO CAVALO DE RIO POMBA;00.094.421/0001-29;36180-000;RUA QUINTINO BOCAIUVA, nº 05, CENTRO - RIO POMBA/MG;;CLUBE;9312300;9312300;MG;RIO POMBA;02;CLUBE DO CAVALO DE RIO POMBA
SANTOS & SUNE EMPREENDIMENTOS RURAIS LTDA.;07.873.008/0001-01;96415-660;RUA CORREIO DO SUL, nº 499, JARDIM DO CASTELO - BAGE/RS;(53) 32423138;HARAS;0152102;0152102;RS;BAGE;02;SANTOS & SUNE EMPREENDIMENTOS RURAIS LTDA.
LAZARO CIRO SILVA;07.940.267/0001-08;18150-000;SÍTIO SAO BENTO, nº SN, KM 15, PIAI - IBIUNA/SP;(15) 32411732;HARAS;0152102;0152102;SP;IBIUNA;02;LAZARO CIRO SILVA
JOSE EDUARDO MATARAZZO KALIL;07.963.942/0001-14;14240-000;FAZENDA BARROZA, nº S/N, RURAL - CAJURU/SP;(11) 23513511;HARAS;0152102;0152102;SP;CAJURU;02;JOSE EDUARDO MATARAZZO KALIL
RUY MORAES TERRA;08.074.963/0001-41;19200-000;OUTROS RODOVIA ASSISCHATAUBRIAND - SP425, nº S/N, KM 69, ZONA RURAL - PIRAPOZINHO/SP;(18) 39163030;HARAS;0152102;0152102;SP;PIRAPOZINHO;02;RUY MORAES TERRA
CEPEL;21.097.472/0001-84;30670-020;AVENIDA ANTONIO FRANCISCO LISBOA, nº 481, BANDEIRANTES - BELO HORIZONTE/MG;(0031) 04410962;CLUBE_HIPICO;9319199;9319199;MG;BELO HORIZONTE;02;CENTRO DE PREPARACAO EQUESTRE DA LAGOA - CEPEL
HARAS FAZENDA BELA LTDA EM RECUPERACAO JUDICIAL;56.417.181/0001-00;18195-000;RODOVIA RAPOSO TAVARES, nº SN, KM 130, PORTO - CAPELA DO ALTO/SP;(15) 32388090;HARAS;0152102;0152102;SP;CAPELA DO ALTO;02;HARAS FAZENDA BELA LTDA EM RECUPERACAO JUDICIAL
CCCL;23.964.851/0001-50;36405-150;AVENIDA PROFESSOR JOSE GANIME, nº S/N, SANTA MATILDE - CONSELHEIRO LAFAIETE/MG;(31) 96510001;CLUBE;9312300;9312300;MG;CONSELHEIRO LAFAIETE;02;CLUBE CAVALO CONSELHEIRO LAFAIETE
AGRO PECUARIA RANCHO TREZE;36.297.257/0001-02;28200-000;RUA PROJETADA, nº S/N, ZONA RURAL, CAETA - SAO JOAO DA BARRA/RJ;(21) 26214792;HARAS;0152102;0152102;RJ;SAO JOAO DA BARRA;02;AGRO PECUARIA RANCHO TREZE LTDA
JOSE BASANO NETTO;07.985.774/0001-68;18285-000;OUTROS HARAS BASANO II, nº S/N, RIBEIRAO DA ONCA - CESARIO LANGE/SP;(15) 32461273;HARAS;0152102;0152102;SP;CESARIO LANGE;02;JOSE BASANO NETTO
HIPICA MANEGE ALPHAVILLE LTDA;05.375.608/0001-14;06532-020;ESTRADA DE LULA CHAVES, nº 443, TANQUINHO - SANTANA DE PARNAIBA/SP;(11) 41542636;CENTRO_TREINAMENTO;8591100;8591100;SP;SANTANA DE PARNAIBA;02;HIPICA MANEGE ALPHAVILLE LTDA
FEDERACAO HIPICA DE MATO GROSSO FHIMT;37.465.960/0001-37;78015-608;RUA DOM ANTONIO MALAM, nº 194, POCAO - CUIABA/MT;(65) 92430002;CLUBE_HIPICO;9319199;9319199;MT;CUIABA;02;FEDERACAO HIPICA DE MATO GROSSO FHIMT
JOCKEY CLUB FAZENDA RIO GRANDE;76.671.650/0001-20;83833-546;RUA RIO XINGU, nº 765, IGUACU - FAZENDA RIO GRANDE/PR;(41) 33964084;CLUBE;9312300;9312300;PR;FAZENDA RIO GRANDE;02;JOCKEY CLUB FAZENDA RIO GRANDE
CENTRAL GZ REPRODUCAO EQUINA LTDA;07.789.024/0001-10;14804-187;RUA ETTORE BERTI, nº 5000, KM 05, PARQUE TROPICAL - ARARAQUARA/SP;(16) 96009651;HARAS;0152102;0152102;SP;ARARAQUARA;02;CENTRAL GZ REPRODUCAO EQUINA LTDA
AMARO PEDRO DE ARAUJO;08.107.043/0001-82;18580-000;SÍTIO SAO FRANCISCO DE ASSIS, nº S/N, RIO DA VARZEA - PEREIRAS/SP;(14) 38452264;HARAS;0152102;0152102;SP;PEREIRAS;02;AMARO PEDRO DE ARAUJO
CENTRO HIPICO E HARAS MD;02.180.058/0001-90;99001-970;ESTRADA PASSO FUNDO A SOLEDADE, nº SN, JABOTICABAL - PASSO FUNDO/RS;(54) 33136138;CENTRO_TREINAMENTO;8591100;8591100;RS;PASSO FUNDO;02;AGROPECUARIA DAL AGNOL LTDA
CLUBE DO CAVALO DE CURVELO;20.210.076/0001-59;35792-331;AVENIDA JK, nº 1771, JOCKEY CLUBE - CURVELO/MG;(38) 99285246;CLUBE_HIPICO;9319101;9319101;MG;CURVELO;02;CLUBE DO CAVALO DE CURVELO
SOCIEDADE HIPICA DE PONTA GROSSA;81.648.487/0001-15;84036-250;RUA CAPANEMA, nº SN, OFICINAS - PONTA GROSSA/PR;(42) 30862241;CLUBE;9312300;9312300;PR;PONTA GROSSA;02;SOCIEDADE HIPICA DE PONTA GROSSA
JOQUEI CLUBE DE JATAI;02.315.927/0001-46;75801-701;AVENIDA GOIAS, nº 700, CENTRO - JATAI/GO;(64) 84260305;CLUBE;9312300;9312300;GO;JATAI;02;JOQUEI CLUBE DE JATAI
COUDELARIA MONT BLANC 2009;40.432.999/0001-62;24910-750;ESTRADA HENFIL, nº 303, PINDOBAS - MARICA/RJ;(21) 25600292;HARAS;0152102;0152102;RJ;MARICA;02;AGRO PECUARIA HARAS FAZENDA ELDORADO 92 LTDA
ANCA;57.323.537/0001-00;13990-000;PRAÇA AMADOR BUENO FLORENCE, nº 274, LARGO SAO JOAO - ESPIRITO SANTO DO PINHAL/SP;(19) 36515362;CLUBE;9312300;9312300;SP;ESPIRITO SANTO DO PINHAL;02;ASSOCIACAO NACIONAL DO CAVALO DE APARTACAO-A.N.C.A.
ROBERTO FERNANDO DUARTE;08.232.414/0001-58;19600-000;SITIO ESPINHO PRETO, nº S/N, ESTANCIA, AGUA DE RANCHARIA - RANCHARIA/SP;(18) 32659344;HARAS;0152102;0152102;SP;RANCHARIA;02;ROBERTO FERNANDO DUARTE
SAMIR ABDENOUR;08.269.098/0001-99;18540-000;SÍTIO HARAS MABRUK, nº S/N, JACUTINGA - PORTO FELIZ/SP;(15) 38873655;HARAS;0152102;0152102;SP;PORTO FELIZ;02;SAMIR ABDENOUR
MARCOS ROBERTO DE FREITAS;08.480.460/0001-76;17060-250;OUTROS ESTANCIA SANTO ANTONIO, nº S/N, TIBIRICA - BAURU/SP;(14) 3236080;HARAS;0152102;0152102;SP;BAURU;02;MARCOS ROBERTO DE FREITAS
JOSE EDUARDO DE ALMEIDA;08.333.810/0001-71;12250-000;ESTRADA MUNICIPAL DOS TEIXEIRAS, KM 03, nº S/N, TEIXEIRAS - MONTEIRO LOBATO/SP;(12) 39229764;HARAS;0152102;0152102;SP;MONTEIRO LOBATO;02;JOSE EDUARDO DE ALMEIDA
DARCI DIAS DE MIRANDA;08.348.233/0001-91;18285-000;SITIO BELA VISTA, nº S/N, ALELUIA - CESARIO LANGE/SP;(15) 32461138;HARAS;0152102;0152102;SP;CESARIO LANGE;02;DARCI DIAS DE MIRANDA
JOAO BATISTA DA SILVA;08.376.192/0001-47;07500-000;ESTRADA MONTE NEGRO, nº S/N, MONTE NEGRO - SANTA ISABEL/SP;(11) 46563854;HARAS;0152102;0152102;SP;SANTA ISABEL;02;JOAO BATISTA DA SILVA
FRANCISCO ALTAIR MARCON;08.404.066/0001-59;18520-000;SITIO DO PICA PAU AMARELO, nº S/N, EST. MUNIC. BAIRRO SAO PEDRO, CERQUILHO VELHO - CERQUILHO/SP;(15) 32841535;HARAS;0152102;0152102;SP;CERQUILHO;02;FRANCISCO ALTAIR MARCON
NELSON RODRIGUES;08.417.136/0001-03;18700-970;RODOVIA SP 255 KM 266, nº S/N, ENTRADA A DIREITA, ZONA RURAL - AVARE/SP;(14) 37320696;HARAS;0152102;0152102;SP;AVARE;02;NELSON RODRIGUES
LUIS ERMIRIO DE MORAES;08.450.506/0001-04;18200-970;FAZENDA COUDELARIA ALEGRIA DOS PINHAIS, nº S/N, CONCEICAO - ITAPETININGA/SP;(15) 32718296;HARAS;0152102;0152102;SP;ITAPETININGA;02;LUIS ERMIRIO DE MORAES
SYLVIO DE CASTRO;08.460.951/0001-55;18143-000;SITIO HARAS PINGO D'AGUA, nº S/N, MAILASQUI - SAO ROQUE/SP;(11) 50418439;HARAS;0152102;0152102;SP;SAO ROQUE;02;SYLVIO DE CASTRO
HARAS BSM;08.491.519/0001-21;49290-000;RUA RUA D, nº SN, ZONA RURAL, CONJUNTO ALDEIA - ITABAIANINHA/SE;(79) 35441337;HARAS;0152102;0152102;SE;ITABAIANINHA;02;AGROPECUARIA & HARAS BSM LTDA
JUVENAL DE ALMEIDA;08.499.160/0001-39;17600-970;CHACARA ESTANCIA SISTEMA BRUTO, nº S/N, ZONA RURAL, BAIRRO PITANGUEIRAS - TUPA/SP;(14) 34041000;HARAS;0152102;0152102;SP;TUPA;02;JUVENAL DE ALMEIDA
BENNY ROSSET;08.507.171/0001-13;13315-000;SITIO NHA BARBINA, nº S/N, BOM JESUS DO BONFIM - CABREUVA/SP;(11) 32268853;HARAS;0152102;0152102;SP;CABREUVA;02;BENNY ROSSET
ARMANDO MONZO NETO E OUTRO;08.553.103/0001-90;18285-000;OUTROS ESTANCIA HARAS TODAY, nº S/N, FAZENDA SAO JOAQUIM - CESARIO LANGE/SP;(15) 32461608;HARAS;0152102;0152102;SP;CESARIO LANGE;02;ARMANDO MONZO NETO E OUTRO
RICARDO RICCILUCA E OUTRO;08.553.192/0001-75;13970-260;SITIO NOSSA SENHORA DE LOURDES, nº S/N, PONTE NOVA - ITAPIRA/SP;(19) 38631338;HARAS;0152102;0152102;SP;ITAPIRA;02;RICARDO RICCILUCA E OUTRO
ANTONINO LEITE OLIVEIRA;08.560.154/0001-40;19500-000;OUTROS ESTANCIA KATULANDIA, nº S/N, CAPAO BONITO - MARTINOPOLIS/SP;(18) 32755033;HARAS;0152102;0152102;SP;MARTINOPOLIS;02;ANTONINO LEITE OLIVEIRA
PAULO CESAR DE GODOY;08.567.476/0001-10;13940-000;SITIO SAO PEDRO, nº S/N, PIMENTEIS - AGUAS DE LINDOIA/SP;(19) 38242708;HARAS;0152102;0152102;SP;AGUAS DE LINDOIA;02;PAULO CESAR DE GODOY
FRANCISCO BATISTA DOS SANTOS;08.615.654/0002-12;18200-999;CHACARA SANTA MARIA, nº S/N, BAIRRO DA CONCEICAO - ITAPETININGA/SP;(11) 62911336;HARAS;0152102;0152102;SP;ITAPETININGA;02;FRANCISCO BATISTA DOS SANTOS
BENEDITO MORATO DO AMARAL;08.722.507/0001-60;18190-000;VIA VEREADOR JOAO C. NUNES, nº KM 2, DOS FARIAS - ARACOIABA DA SERRA/SP;(15) 97746932;HARAS;0152102;0152102;SP;ARACOIABA DA SERRA;02;BENEDITO MORATO DO AMARAL
LUIZ MOREIRA;08.718.229/0001-78;18190-000;ESTRADA DO CRISTOVAO, nº S/N, CX 216, JUNDIAQUARA - ARACOIABA DA SERRA/SP;(15) 32194077;HARAS;0152102;0152102;SP;ARACOIABA DA SERRA;02;LUIZ MOREIRA
ALMIR DE ANDRADE;08.772.560/0001-76;18147-000;ESTRADA DA APARECIDINHA, nº 5240, CRUZ DAS ALMAS - ARACARIGUAMA/SP;(11) 99755593;HARAS;0152102;0152102;SP;ARACARIGUAMA;02;ALMIR DE ANDRADE
WALDEMAR DE MACEDO CARDOSO FILHO;08.114.410/0004-18;13012-970;ESTRADA N.02 DESMEMBRADA DA FAZENDA MONTE D'ESTE, nº S/N, GLEBA SAO JOSE CHACARA 48 I, ZONA RURAL - CAMPINAS/SP;(16) 33014500;HARAS;0152102;0152102;SP;CAMPINAS;02;WALDEMAR DE MACEDO CARDOSO FILHO
JOSE OSMIR TREVISAN E OUTRA;08.820.898/0001-56;14801-970;CHACARA HARAS SANTA VERA, nº S/N, ESTRADA PARA SESMARIA DO OURO, ZONA RURAL - ARARAQUARA/SP;(16) 33011996;HARAS;0152102;0152102;SP;ARARAQUARA;02;JOSE OSMIR TREVISAN E OUTRA
NIVALDO ISAULINO ALVIM E OUTRA;08.866.171/0001-00;18900-000;OUTROS ESTANCIA POR DO SOL, nº S/N, SERRINHA - SANTA CRUZ DO RIO PARDO/SP;(14) 33723244;HARAS;0152102;0152102;SP;SANTA CRUZ DO RIO PARDO;02;NIVALDO ISAULINO ALVIM E OUTRA
PAULO MARQUES;08.908.411/0001-91;17054-630;AVENIDA COMENDADOR JOSE DA SILVA MARTHA, nº 17, SEM NUMERO, CHACARA FERRAZ SAMPAIO - BAURU/SP;(14) 32242797;HARAS;0152102;0152102;SP;BAURU;02;PAULO MARQUES
OLDEMAR OLIVEIRA ANDRADE E OUTRA;08.502.243/0001-30;13860-000;ESTRADA VELHA AGUAI - PINHAL KM 3, nº S/N, SITIO ESPERANCA, RURAL - AGUAI/SP;(11) 32870824;HARAS;0152102;0152102;SP;AGUAI;02;OLDEMAR OLIVEIRA ANDRADE E OUTRA
AGROPECUARIA EUSEBIO;09.001.262/0001-45;61700-000;RUA A - TERRAS DO EUSEBIO, nº S/N, BAIXA GRANDE - AQUIRAZ/CE;(85) 88888888;HARAS;0152102;0152102;CE;AQUIRAZ;02;AGROPECUARIA EUSEBIO LTDA
MARGARIDA POLAK LARA;09.037.929/0001-60;13510-000;RODOVIA WASHINTON LUIZ KM. 166, nº S/N, ZONA RURAL - SANTA GERTRUDES/SP;(19) 35338299;HARAS;0152102;0152102;SP;SANTA GERTRUDES;02;MARGARIDA POLAK LARA
JULIA MACCAFANI BONANNO;09.210.458/0001-40;12328-080;AVENIDA MALEK ASSAD, nº 30, CHACARA SANTA MARIA, JARDIM SANTA MARIA - JACAREI/SP;(12) 39531721;HARAS;0152102;0152102;SP;JACAREI;02;JULIA MACCAFANI BONANNO
DENIS SCHWARZENBECK;09.259.909/0001-33;13106-011;ESTRADA SOUSAS/PEDREIRA, nº S/N, KM 94, SOUSAS - CAMPINAS/SP;(19) 32412911;HARAS;0152102;0152102;SP;CAMPINAS;02;DENIS SCHWARZENBECK
ROSELI FATIMA DOS SANTOS BALASTEGUIM;09.286.922/0001-81;15501-207;RODOVIA EUCLIDES DA CUNHA, nº S/N, DISTRITO SIMONSEM - VOTUPORANGA/SP;(17) 34227168;HARAS;0152102;0152102;SP;VOTUPORANGA;02;ROSELI FATIMA DOS SANTOS BALASTEGUIM
LUIZ EURICO BROTTO;09.293.529/0001-15;13250-970;SÍTIO DOS BROTTOS, nº S/N, ROD ENG CONSTANCIO CINTRA KM 77,5, PINHAL - ITATIBA/SP;(11) 99064484;HARAS;0152102;0152102;SP;ITATIBA;02;LUIZ EURICO BROTTO
MOACYR BROTTO JUNIOR;09.293.542/0001-74;13250-970;SÍTIO DOS BROTTOS, nº S/N, ROD ENG CONSTANCIO CINTRA KM 77,5, PINHAL - ITATIBA/SP;(11) 93122072;HARAS;0152102;0152102;SP;ITATIBA;02;MOACYR BROTTO JUNIOR
MARIA ELCIDIA MARTINS RIBEIRO DA COSTA VIELLAS E OUTROS;08.381.810/0002-28;14270-000;SÍTIO BAIPENDI, nº S/N, ZONA RURAL - SANTA ROSA DE VITERBO/SP;(16) 39546029;HARAS;0152102;0152102;SP;SANTA ROSA DE VITERBO;02;MARIA ELCIDIA MARTINS RIBEIRO DA COSTA VIELLAS E OUTROS
OLINTO FABRI PETRILLI;08.193.489/0002-58;13560-970;CHÁCARA MONTE ALTO - CRT 191B 109 - ROS S.CARLOS A DESCALVADO, nº S/N, RURLA - SAO CARLOS/SP;(16) 33714768;HARAS;0152102;0152102;SP;SAO CARLOS;02;OLINTO FABRI PETRILLI
FERNANDA BOCCHI BARTH DE FREITAS;09.608.818/0001-66;18270-970;SÍTIO IV, nº SN, GUAXINGU - TATUI/SP;(15) 32512313;HARAS;0152102;0152102;SP;TATUI;02;FERNANDA BOCCHI BARTH DE FREITAS
DIEGO PEREIRA SILVA GOMES;09.630.981/0001-25;15400-000;RODOVIA ASSIS CHATEAUBRIAN KM 143 (HARAS SILVA GOMES), nº S/N, LARANJEIRAS - OLIMPIA/SP;(17) 38171326;HARAS;0152102;0152102;SP;OLIMPIA;02;DIEGO PEREIRA SILVA GOMES
CARLOS BARBOZA DA SILVA;09.637.953/0001-30;15600-001;FAZENDA SAO JOSE, nº S/N, CORREGO SAO PEDRO - FERNANDOPOLIS/SP;(17) 97843060;HARAS;0152102;0152102;SP;FERNANDOPOLIS;02;CARLOS BARBOZA DA SILVA
PAULO MARCONDES;09.687.777/0001-40;13995-000;CHÁCARA VARGINHA, nº S/N, VARGINHA - SANTO ANTONIO DO JARDIM/SP;(35) 91078636;HARAS;0152102;0152102;SP;SANTO ANTONIO DO JARDIM;02;PAULO MARCONDES
MARCELO JOSE LADRON DE GUEVARA;10.203.607/0001-22;13280-001;ALAMEDA IGARATA, nº 350, COND VALE DO SANTA FE, VALE DO SANTA FE - VINHEDO/SP;(11) 40383617;HARAS;0152102;0152102;SP;VINHEDO;02;MARCELO JOSE LADRON DE GUEVARA
LUIZ ALVARO MOREIRA ROCCO E OUTROS;10.437.054/0001-72;13480-970;ÁREA HARAS CLIO, nº S/N, GRAMINHA - LIMEIRA/SP;(19) 34516111;HARAS;0152102;0152102;SP;LIMEIRA;02;LUIZ ALVARO MOREIRA ROCCO E OUTROS
ANTONIO GILBERTO GASPARELLI JUNIOR;10.647.465/0001-92;16914-899;AREA RANCHO GASPARELLI, nº S/N, ADD 458 A 4 KM, CORREGO SAO PEDRO - ANDRADINA/SP;(18) 81213593;HARAS;0152102;0152102;SP;ANDRADINA;02;ANTONIO GILBERTO GASPARELLI JUNIOR
ARMANDO DOS SANTOS GADANHA;10.660.362/0001-62;06711-205;AVENIDA CENTRAL, nº 401, LOTE 19 QUADRA B, JARDIM DA GLORIA - COTIA/SP;(11) 97672478;HARAS;0152102;0152102;SP;COTIA;02;ARMANDO DOS SANTOS GADANHA
MARCIA REGINA TURINI;10.662.025/0001-04;17065-123;AVENIDA PINHEIRO MACHADO FINAL, nº *, FUNDACAO CASA POPULARES SALVADOR FILARDI - BAURU/SP;(14) 32231428;HARAS;0152102;0152102;SP;BAURU;02;MARCIA REGINA TURINI
REGINA GONCALVES AFFONSO;10.684.328/0001-28;13240-000;ESTRADA MUNICIPAL ALBERTO TOFANIN, nº S/N, RANCHO APPALACHEE LOTE 51 - QUADRA A, FAZENDA PRIMAVERA - JARINU/SP;(11) 48871200;HARAS;0152102;0152102;SP;JARINU;02;REGINA GONCALVES AFFONSO
CARLA ALESSANDRA DINIZ;10.769.254/0001-22;18540-000;SÍTIO QUATRO AGUAS, nº SN, AL. DOS CARVALHOS 1477-SOROCABA, CAGUASSU - PORTO FELIZ/SP;(11) 82799782;HARAS;0152102;0152102;SP;PORTO FELIZ;02;CARLA ALESSANDRA DINIZ
NILSON DE SOUZA E OUTRA;10.795.196/0001-01;18540-000;SÍTIO SAO VICTOR, nº SN, BOM RETIRO - PORTO FELIZ/SP;(15) 32613497;HARAS;0152102;0152102;SP;PORTO FELIZ;02;NILSON DE SOUZA E OUTRA
JOSE LUIZ CORREA E OUTRA;10.871.608/0001-45;13630-970;SÍTIO ESTALAGEM, nº S/N, MURIM - PIRASSUNUNGA/SP;(19) 96421596;HARAS;0152102;0152102;SP;PIRASSUNUNGA;02;JOSE LUIZ CORREA E OUTRA
DIEGO FERNANDO ECHEVERRIGARAY SILVEIRA;10.964.878/0001-09;18540-000;SÍTIO HARAS SODIVA, nº SN, AL.DOS IPES CX 200 SOROCABA/SP, CAJURU - PORTO FELIZ/SP;(11) 99866310;HARAS;0152102;0152102;SP;PORTO FELIZ;02;DIEGO FERNANDO ECHEVERRIGARAY SILVEIRA
FABIO ANDREO DE ARO;11.209.221/0001-90;15706-312;RUA SUECIA, nº 880, CHACARA DARLEY, ALTO MARIMBONDO - JALES/SP;(17) 36328402;HARAS;0152102;0152102;SP;JALES;02;FABIO ANDREO DE ARO
JUDITH DE MOURA BORGES FERREIRA;11.213.488/0001-51;12260-000;RODOVIA TAMOIOS SAO J.CAMPOS A CARAGUATATUBA,ENT.DIREITA, nº KM.38, SITIO CHAPARRAL, FARTURA - PARAIBUNA/SP;(12) 39740009;HARAS;0152102;0152102;SP;PARAIBUNA;02;JUDITH DE MOURA BORGES FERREIRA
RUI TADEU SANAZAR;11.234.089/0001-77;18140-000;ESTRADA SERVIDAO MAILASQUI, nº 1100, EST SERV MAILASQUI 1200, SAO JOAO NOVO - SAO ROQUE/SP;(11) 36817466;HARAS;0152102;0152102;SP;SAO ROQUE;02;RUI TADEU SANAZAR
FLAMARION HAELE ARNAUT;11.315.988/0001-02;18120-000;ESTRADA MUNICIPAL KM 05, nº S/N, SININDU - MAIRINQUE/SP;(11) 47122617;HARAS;0152102;0152102;SP;MAIRINQUE;02;FLAMARION HAELE ARNAUT
CLUBE SOCIAL EQUESTRE HARAS PE DE SERRA;11.392.369/0001-03;56320-700;ÁREA PROJETO MARIA TEREZA, nº S/N, CASA, KM 18 - PETROLINA/PE;(74) 36142492;HARAS;0152102;0152102;PE;PETROLINA;02;CLUBE SOCIAL EQUESTRE HARAS PE DE SERRA
ROSANA MARIA ANGULO DOS SANTOS;11.418.074/0001-69;13214-822;ESTRADA ESTRADA CORRUPIRA, nº S/N, BAIRRO DOS FERNANDES - JUNDIAI/SP;(11) 45966486;HARAS;0152102;0152102;SP;JUNDIAI;02;ROSANA MARIA ANGULO DOS SANTOS
VINICIUS REZENDE;11.476.373/0001-50;12340-060;ESTRADA KM 67,5 ANTIGA ESTRADA RIO-SAO PAULO, nº KM 67, DAS PIRULEIRAS - JACAREI/SP;(11) 24400633;HARAS;0152102;0152102;SP;JACAREI;02;VINICIUS REZENDE
WALTER NUNO TAVARES PONTES;11.511.990/0001-49;18540-000;SÍTIO CEDRO DO VALE, nº SN, ESTRADA COLONIA RODRIGO SILVA S/N, COLONIA RODRIGO SILVA - PORTO FELIZ/SP;(15) 32625452;HARAS;0152102;0152102;SP;PORTO FELIZ;02;WALTER NUNO TAVARES PONTES
JOAO BATISTA EVANGELISTA - HARAS TERRA BRASILIS;11.615.758/0001-50;07607-350;RUA DONA MARIA NUNES, nº 300, SAO VICENTE - MAIRIPORA/SP;(11) 44198181;HARAS;0152102;0152102;SP;MAIRIPORA;02;JOAO BATISTA EVANGELISTA - HARAS TERRA BRASILIS
HIPICA JUNDIAI;11.920.375/0001-96;13212-370;RUA TASHIN ASAD RASCHID SHAHROURI, nº 531, JARDIM CAROLINA - JUNDIAI/SP;(11) 41665303;CENTRO_TREINAMENTO;8591100;8591100;SP;JUNDIAI;02;HIPICA JUNDIAI LTDA
SERGIO MOTTA MELLO;07.962.294/0004-24;18879-899;FAZENDA SAO JOAO, nº S/N, ZONA RURAL - FARTURA/SP;(14) 33512776;HARAS;0152102;0152102;SP;FARTURA;02;SERGIO MOTTA MELLO
ASSOCIACAO DOS ESPORTES EQUINOS DE CACOAL;11.999.427/0001-61;76960-970;ESTRADA BR 364, KM 3,5, SAIDA PARA JI-PARANA, nº S/N, ZONA RURAL - CACOAL/RO;(69) 34412883;CLUBE_HIPICO;9319199;9319199;RO;CACOAL;02;ASSOCIACAO DOS ESPORTES EQUINOS DE CACOAL
WAGNER PROFESSIORI;12.037.606/0001-80;08700-990;ESTRADA MUNICIPAL DE SAO LAZARO ADUTORA, nº 900, LOTE B, BIRITIBA USSU - MOGI DAS CRUZES/SP;(11) 39333182;HARAS;0152102;0152102;SP;MOGI DAS CRUZES;02;WAGNER PROFESSIORI
DUVANHERY ANTONIA PINOTTI DE OLIVEIRA;12.557.240/0001-70;15990-970;VIA AUGUSTO BAMBOZZI, nº S/N, CH. NOSSO CANTINHO, ZONA RURAL - MATAO/SP;(16) 33842687;HARAS;0152102;0152102;SP;MATAO;02;DUVANHERY ANTONIA PINOTTI DE OLIVEIRA
FRANCISCO ALFREDO DA CAMARA NOBREGA;12.845.195/0001-50;12210-010;ESTRADA HENRIQUE FERRO, nº 3472, CHACARA HUMPATA, TORRAO DE OURO - SAO JOSE DOS CAMPOS/SP;(12) 39442649;HARAS;0152102;0152102;SP;SAO JOSE DOS CAMPOS;02;FRANCISCO ALFREDO DA CAMARA NOBREGA
DENISE LOBODA LATORRE FERREIRA;12.960.653/0001-00;18160-970;ESTRADA JUCURUPAVA CX LUZ 35, nº SN, DLL RANCH, JUCURUPAVA - SALTO DE PIRAPORA/SP;(15) 98140158;HARAS;0152102;0152102;SP;SALTO DE PIRAPORA;02;DENISE LOBODA LATORRE FERREIRA
ALEXANDRE MARTINS QUIRICO;12.976.876/0001-57;16270-000;SITIO MODELO, nº S/N, ENGENHEIRO NAPOLEAO - GLICERIO/SP;(18) 96864592;HARAS;0152102;0152102;SP;GLICERIO;02;ALEXANDRE MARTINS QUIRICO
